repetition,level,baseline_mae,baseline_rmse,baseline_spearman_rho,baseline_pearson_r,baseline_calibration_slope,baseline_calibration_intercept,extended_mae,extended_rmse,extended_spearman_rho,extended_pearson_r,extended_calibration_slope,extended_calibration_intercept,delta_mae,delta_rmse,delta_spearman_rho,delta_pearson_r,delta_calibration_slope,delta_calibration_intercept
26,row,0.4875275846291125,0.6268652681069699,0.3295460647666538,0.3377036778139765,0.6899477739380875,0.33270993249133207,0.4969059776476056,0.6574531881017364,0.3572142427375414,0.3175658657154045,0.5004832786719762,0.5372050207144982,0.00937839301849308,0.03058791999476651,0.027668177970887553,-0.02013781209857196,-0.1894644952661113,0.2044950882231661
26,participant,0.47942030466177193,0.619969712934458,0.3339280384760138,0.3448817182524715,0.7401055445027181,0.2729291555612165,0.49031140130492795,0.628592041394177,0.3350571518365622,0.3499188347342737,0.6279558656310362,0.39240269752168067,0.010891096643156017,0.008622328459718998,0.0011291133605483838,0.005037116481802217,-0.11214967887168192,0.11947354196046417
27,row,0.49654978124088983,0.6399168584580417,0.3236511265048152,0.2943993591957861,0.6148522760344466,0.41834454685915295,0.49440792477270173,0.6444794459864968,0.3759766268827481,0.3162948054405419,0.5617804524812812,0.4737900492372443,-0.002141856468188097,0.004562587528455064,0.052325500377932876,0.021895446244755812,-0.05307182355316542,0.05544550237809137
27,participant,0.486383905264921,0.6315733142363668,0.3379812659241361,0.3054219676072317,0.6681146075776547,0.35409091734990533,0.48767488694023403,0.623121489625017,0.39093378737139023,0.34751119539916736,0.6846221593459351,0.33356423189794165,0.001290981675313052,-0.008451824611349745,0.05295252144725415,0.042089227791935635,0.016507551768280337,-0.020526685451963678
28,row,0.5178332370983585,0.6605705993985347,0.22998358598710644,0.22293149733316986,0.4795398293796776,0.5583114995511912,0.5128940619306113,0.6762260955543635,0.2929861788440683,0.25057382451449917,0.4211196753856911,0.617313460728903,-0.004939175167747223,0.01565549615582884,0.06300259285696186,0.027642327181329307,-0.05842015399398648,0.05900196117771184
28,participant,0.515383035722381,0.6531527273500727,0.23963259705791287,0.22873384892074378,0.517013421334917,0.5105476035578845,0.5074259886841826,0.6500668151790907,0.29956246004086307,0.2781731313136391,0.5322832784353224,0.4872188197318607,-0.007957047038198328,-0.003085912170981975,0.059929862982950194,0.0494392823928953,0.015269857100405404,-0.023328783826023824
29,row,0.5062960308474678,0.6527596799452335,0.2757873267109622,0.26361642915578914,0.5313585419456395,0.5219030805878404,0.49275002519139316,0.6371317004672388,0.3584573211165313,0.33365324662675167,0.599338951810135,0.44623771069740664,-0.013546005656074611,-0.01562797947799477,0.0826699944055691,0.07003681747096252,0.0679804098644955,-0.07566536989043376
29,participant,0.49966294718403437,0.6457550400242493,0.29122439214758306,0.2655870615639445,0.5651359690880426,0.48068084170881253,0.48865395171877396,0.6180439012826605,0.3649641800787784,0.3595020916895265,0.7218228967135052,0.3109705745170553,-0.011008995465260407,-0.027711138741588814,0.07373978793119534,0.093915030125582,0.15668692762546255,-0.16971026719175725
30,row,0.4864248057629152,0.6179866124131629,0.3609786925594682,0.3702550525552121,0.731231623000131,0.3143982598790384,0.494123607765393,0.6375058644309209,0.3988978653214024,0.3589825780734766,0.5799262278180694,0.47164575947007104,0.0076988020024778,0.01951925201775806,0.03791917276193424,-0.011272474481735517,-0.15130539518206165,0.15724749959103262
30,participant,0.4801635731335668,0.6107361109285776,0.3691621656500479,0.3781708357632769,0.7837529790648506,0.25438959308783077,0.4876784281950205,0.6115247816380089,0.396839918795797,0.3927727769572007,0.7135487845433817,0.32544330075776057,0.007514855061453718,0.0007886707094313383,0.027677753145749107,0.014601941193923773,-0.07020419452146898,0.0710537076699298
31,row,0.5275164594654368,0.6630440060021092,0.2723468519906418,0.2666375558738453,0.47530299504299706,0.5587322812552026,0.5328687593486223,0.6857925495601683,0.339613943195923,0.28864972824793844,0.41340900123311103,0.6218773151185918,0.0053522998831855295,0.02274854355805911,0.06726709120528118,0.022012172374093142,-0.06189399380988603,0.06314503386338921
31,participant,0.5190215421601183,0.6552817469431709,0.28068600078246525,0.27427967384559837,0.5023536861659093,0.5217672992152637,0.5183697709071067,0.6489219963358686,0.3612294205015801,0.32670299586190493,0.5305037104492588,0.4833688713746913,-0.0006517712530116349,-0.006359750607302317,0.08054341971911483,0.05242332201630656,0.028150024283349562,-0.03839842784057235
32,row,0.532329045955712,0.6763872561543177,0.2255571000879839,0.21937014113499131,0.40198275796289024,0.6494974598078374,0.5309930125033003,0.6895857149030095,0.27175876675185623,0.2604405832736436,0.38869952629506416,0.6617267630490843,-0.0013360334524116224,0.013198458748691744,0.04620166666387232,0.0410704421386523,-0.013283231667826079,0.012229303241246936
32,participant,0.528061835693061,0.6686721763232365,0.2292389638159422,0.22160221619913562,0.4231460903187805,0.6201521005717848,0.523872692985889,0.6640661086595671,0.28326269537448584,0.2773752429724947,0.461641965537957,0.5766605575760184,-0.004189142707171967,-0.004606067663669444,0.05402373155854365,0.0557730267733591,0.03849587521917652,-0.04349154299576641
33,row,0.49128279835451777,0.6444203878434804,0.31172391270980493,0.2899580557044914,0.5780567223578267,0.4595162051694324,0.4892191837442611,0.6442549789102398,0.3778746984019422,0.3275155881922718,0.5576581938604633,0.48051942752222837,-0.00206361461025667,-0.00016540893324068495,0.06615078569213728,0.037557532487780376,-0.020398528497363344,0.021003222352795947
33,participant,0.4836503709141869,0.637547556304653,0.3313513438839933,0.2951628990407694,0.6134086546863463,0.415359830554435,0.48297609368365363,0.6215935163290427,0.3874306407912274,0.3574765982166776,0.6795549700243187,0.3427030310947335,-0.00067427723053326,-0.01595403997561029,0.05607929690723412,0.06231369917590818,0.06614631533797244,-0.0726567994597015
34,row,0.501924920458561,0.6490596948180773,0.28457691207628427,0.2638877071494624,0.5565873092642073,0.479995908004549,0.4874981328153447,0.6270468302656422,0.3599539452272131,0.34783986314775683,0.6665352420494473,0.354892806456988,-0.014426787643216255,-0.02201286455243512,0.07537703315092881,0.08395215599829442,0.10994793278523995,-0.125103101547561
34,participant,0.4945252028356911,0.6414190869195517,0.30526593009286374,0.2695079685101343,0.6028571943018779,0.42395396945055863,0.4831793628999211,0.6136469542755345,0.36736716492302235,0.3674586246375812,0.7681925314596387,0.23881542414589665,-0.011345839935770041,-0.027772132644017233,0.062101234830158614,0.09795065612744691,0.16533533715776083,-0.18513854530466198
35,row,0.5035130232061291,0.6425668254581041,0.30452603110454923,0.2816362001441697,0.6025468606329768,0.431179579540402,0.5081615445848858,0.6634387171315008,0.36147521961736495,0.2910534123710027,0.4759937723981678,0.5645808811223654,0.004648521378756709,0.02087189167339676,0.05694918851281572,0.009417212226833005,-0.12655308823480899,0.1334013015819634
35,participant,0.4947036682584679,0.6352097714781293,0.3373732818069178,0.2900855998292651,0.6490620495653854,0.3743512822141454,0.5009168980954168,0.6364776272537417,0.3706386985061496,0.32278806341843935,0.5958865255939252,0.4270343824703828,0.006213229836948941,0.001267855775612392,0.03326541669923183,0.03270246358917428,-0.05317552397146019,0.0526831002562374
36,row,0.5345704056574392,0.6884960691674825,0.18055625418115281,0.14659758040702386,0.29976222257395047,0.7676190042602435,0.5300626910861904,0.6977020781175661,0.23227958344631716,0.1873698291801935,0.31835117619218783,0.7453094917016253,-0.0045077145712487665,0.00920600895008361,0.05172332926516435,0.04077224877316962,0.01858895361823737,-0.02230951255861824
