repetition,level,baseline_mae,baseline_rmse,baseline_spearman_rho,baseline_pearson_r,baseline_calibration_slope,baseline_calibration_intercept,extended_mae,extended_rmse,extended_spearman_rho,extended_pearson_r,extended_calibration_slope,extended_calibration_intercept,delta_mae,delta_rmse,delta_spearman_rho,delta_pearson_r,delta_calibration_slope,delta_calibration_intercept
23,participant,0.4987974749403151,0.6400919612018084,0.3289194074151199,0.2853574829001274,0.6032118116629563,0.4429900410110847,0.4995673766303032,0.6328302769659332,0.3826536227273691,0.3289005214690205,0.618662367850295,0.4222195074700007,0.0007699016899881,-0.0072616842358752,0.0537342153122491,0.043543038568893,0.0154505561873387,-0.0207705335410839
24,participant,0.4785085156449637,0.6125294377953769,0.3689884559022712,0.3626814777615164,0.8221884553801115,0.1923613080701879,0.4752592625779068,0.6052790291009588,0.4316108199757599,0.3969725451778477,0.7868427358371698,0.2341303557097025,-0.0032492530670568,-0.0072504086944181,0.0626223640734886,0.0342910674163313,-0.0353457195429417,0.0417690476395146
25,participant,0.5005795270591425,0.6363047200947155,0.2882134231861208,0.2900764099179474,0.6396228528801483,0.3745598767291163,0.4931785767020676,0.6234435850495094,0.356076031317539,0.3500204950455304,0.68135637132083,0.3255136231288426,-0.0074009503570749,-0.0128611350452061,0.0678626081314181,0.059944085127583,0.0417335184406817,-0.0490462536002736
26,participant,0.4794203046617719,0.619969712934458,0.3339280384760138,0.3448817182524715,0.7401055445027181,0.2729291555612165,0.4903114013049279,0.628592041394177,0.3350571518365622,0.3499188347342737,0.6279558656310362,0.3924026975216806,0.010891096643156,0.0086223284597189,0.0011291133605483,0.0050371164818022,-0.1121496788716819,0.1194735419604641
27,participant,0.486383905264921,0.6315733142363668,0.3379812659241361,0.3054219676072317,0.6681146075776547,0.3540909173499053,0.487674886940234,0.623121489625017,0.3909337873713902,0.3475111953991673,0.6846221593459351,0.3335642318979416,0.001290981675313,-0.0084518246113497,0.0529525214472541,0.0420892277919356,0.0165075517682803,-0.0205266854519636
28,participant,0.515383035722381,0.6531527273500727,0.2396325970579128,0.2287338489207437,0.517013421334917,0.5105476035578845,0.5074259886841826,0.6500668151790907,0.299562460040863,0.2781731313136391,0.5322832784353224,0.4872188197318607,-0.0079570470381983,-0.0030859121709819,0.0599298629829501,0.0494392823928953,0.0152698571004054,-0.0233287838260238
29,participant,0.4996629471840343,0.6457550400242493,0.291224392147583,0.2655870615639445,0.5651359690880426,0.4806808417088125,0.4886539517187739,0.6180439012826605,0.3649641800787784,0.3595020916895265,0.7218228967135052,0.3109705745170553,-0.0110089954652604,-0.0277111387415888,0.0737397879311953,0.093915030125582,0.1566869276254625,-0.1697102671917572
30,participant,0.4801635731335668,0.6107361109285776,0.3691621656500479,0.3781708357632769,0.7837529790648506,0.2543895930878307,0.4876784281950205,0.6115247816380089,0.396839918795797,0.3927727769572007,0.7135487845433817,0.3254433007577605,0.0075148550614537,0.0007886707094313,0.0276777531457491,0.0146019411939237,-0.0702041945214689,0.0710537076699298
31,participant,0.5190215421601183,0.6552817469431709,0.2806860007824652,0.2742796738455983,0.5023536861659093,0.5217672992152637,0.5183697709071067,0.6489219963358686,0.3612294205015801,0.3267029958619049,0.5305037104492588,0.4833688713746913,-0.0006517712530116,-0.0063597506073023,0.0805434197191148,0.0524233220163065,0.0281500242833495,-0.0383984278405723
32,participant,0.528061835693061,0.6686721763232365,0.2292389638159422,0.2216022161991356,0.4231460903187805,0.6201521005717848,0.523872692985889,0.6640661086595671,0.2832626953744858,0.2773752429724947,0.461641965537957,0.5766605575760184,-0.0041891427071719,-0.0046060676636694,0.0540237315585436,0.0557730267733591,0.0384958752191765,-0.0434915429957664
33,participant,0.4836503709141869,0.637547556304653,0.3313513438839933,0.2951628990407694,0.6134086546863463,0.415359830554435,0.4829760936836536,0.6215935163290427,0.3874306407912274,0.3574765982166776,0.6795549700243187,0.3427030310947335,-0.0006742772305332,-0.0159540399756102,0.0560792969072341,0.0623136991759081,0.0661463153379724,-0.0726567994597015
34,participant,0.4945252028356911,0.6414190869195517,0.3052659300928637,0.2695079685101343,0.6028571943018779,0.4239539694505586,0.4831793628999211,0.6136469542755345,0.3673671649230223,0.3674586246375812,0.7681925314596387,0.2388154241458966,-0.01134583993577,-0.0277721326440172,0.0621012348301586,0.0979506561274469,0.1653353371577608,-0.1851385453046619
35,participant,0.4947036682584679,0.6352097714781293,0.3373732818069178,0.2900855998292651,0.6490620495653854,0.3743512822141454,0.5009168980954168,0.6364776272537417,0.3706386985061496,0.3227880634184393,0.5958865255939252,0.4270343824703828,0.0062132298369489,0.0012678557756123,0.0332654166992318,0.0327024635891742,-0.0531755239714601,0.0526831002562374
36,participant,0.5270629171787868,0.6814880070943096,0.1952208048763448,0.1442605823363293,0.3101621761316473,0.7499774870245239,0.5243000140948709,0.6731509086018704,0.2346239659970189,0.2030742609447565,0.3941888524672423,0.6576798645904414,-0.0027629030839159,-0.0083370984924391,0.039403161120674,0.0588136786084272,0.0840266763355949,-0.0922976224340825
37,participant,0.5250065214412671,0.6852846820483548,0.189893705944527,0.1519798098883048,0.3078230057443621,0.7544765508805276,0.5302122416445587,0.6838782370638616,0.2312655775400033,0.1982402877734551,0.3561385164284655,0.7034713227922879,0.0052057202032915,-0.0014064449844931,0.0413718715954763,0.0462604778851502,0.0483155106841033,-0.0510052280882397
38,participant,0.5061275710899414,0.6609942851409624,0.258856475811864,0.2100997418195354,0.4584537369783517,0.5949127315900526,0.5173243002989116,0.6641383248969052,0.3098692384089453,0.2273850230812147,0.4490157829151768,0.6087519539232181,0.0111967292089701,0.0031440397559427,0.0510127625970813,0.0172852812616792,-0.0094379540631748,0.0138392223331654
39,participant,0.4852874669598402,0.6280543689893567,0.3490407865325839,0.3127963932040808,0.7036630490759609,0.3199004018249893,0.4925522131791583,0.6229169775491331,0.3771817656724041,0.3549121458164841,0.6714367605600124,0.347069569022679,0.0072647462193181,-0.0051373914402236,0.0281409791398201,0.0421157526124033,-0.0322262885159484,0.0271691671976896
40,participant,0.5075014491022626,0.6447588469655922,0.2332053363901761,0.2572650056734901,0.5794504122996001,0.4620295812115746,0.5149757663557493,0.6527628147153824,0.2732164816280686,0.2598122895067555,0.5137194921864557,0.5313494472916961,0.0074743172534866,0.0080039677497902,0.0400111452378924,0.0025472838332654,-0.0657309201131444,0.0693198660801214
41,participant,0.5064707452512822,0.632945607155999,0.2886476975555625,0.303036738902721,0.6548341806186183,0.3791650377873705,0.532692603929016,0.6667941508469322,0.2414275977849383,0.2598550836778564,0.446390733743532,0.6013493786361712,0.0262218586777337,0.0338485436909331,-0.0472200997706241,-0.0431816552248646,-0.2084434468750862,0.2221843408488007
42,participant,0.5263403005223336,0.6903094769342395,0.1799632986966275,0.1340562912498565,0.2720776785362302,0.7842792453086385,0.531813311128096,0.6891093285008609,0.2334369493872116,0.1796950684582626,0.3257537598104157,0.7221011451744361,0.0054730106057624,-0.0012001484333785,0.0534736506905841,0.0456387772084061,0.0536760812741855,-0.0621781001342023
43,participant,0.5252044492290011,0.6810163746350948,0.1406180408252123,0.1290112205987894,0.295018389966761,0.7517345730383082,0.5290227901017402,0.6757205506096953,0.1977685478437359,0.1819216805311931,0.3713388665156658,0.6669082628232306,0.0038183408727391,-0.0052958240253995,0.0571505070185235,0.0529104599324036,0.0763204765489047,-0.0848263102150775
44,participant,0.5097996546087785,0.6546319297721982,0.2495340526811828,0.2325334550456681,0.5055455570924328,0.5222669710648823,0.5209943957976256,0.6652556469613153,0.264588897488494,0.2462024850210203,0.4498399936796348,0.5826802951427,0.0111947411888471,0.0106237171891171,0.0150548448073112,0.0136690299753522,-0.0557055634127979,0.0604133240778177
45,participant,0.4960979693201703,0.6299660555378152,0.3176282738096365,0.3203111752865291,0.6586039238626422,0.3636705355694105,0.4835506906575695,0.6066604898323087,0.3665854710580273,0.4027047909659967,0.7417859713768992,0.2686735688944023,-0.0125472786626007,-0.0233055657055064,0.0489571972483908,0.0823936156794676,0.0831820475142569,-0.0949969666750081
46,participant,0.4778761869782391,0.6103966617774675,0.3654853093221084,0.3708875931500037,0.8290239154962424,0.1763329601996014,0.4909621883601471,0.6287545896369136,0.379787411889054,0.3607494942995949,0.6169728916441408,0.3980303254860882,0.013086001381908,0.018357927859446,0.0143021025669456,-0.0101380988504088,-0.2120510238521016,0.2216973652864868
47,participant,0.4943001930349633,0.6336289448579384,0.3130249654935549,0.2964275002118737,0.65851069674917,0.3638126909744422,0.49381672683084,0.6238139805643345,0.3655432125713673,0.3470952897582157,0.6773259256704058,0.3414033022076993,-0.0004834662041232,-0.0098149642936039,0.0525182470778124,0.0506677895463419,0.0188152289212358,-0.0224093887667428
48,participant,0.4792877780343244,0.6186562321290645,0.3571472414288284,0.340849375261521,0.7889270658793456,0.2240658786064942,0.4662616887109972,0.5927647088718223,0.4054095996861125,0.4374307370332783,0.8172294517556261,0.1818406568446389,-0.0130260893233271,-0.0258915232572422,0.048262358257284,0.0965813617717572,0.0283023858762805,-0.0422252217618553
49,participant,0.5005138871728163,0.637206261870055,0.2872290679487197,0.2878954927157553,0.6277363802357296,0.3959148075242934,0.4923774730459056,0.621254665626988,0.3269796485649471,0.383538635367902,0.6444841504075745,0.3650808121178041,-0.0081364141269106,-0.015951596243067,0.0397505806162274,0.0956431426521466,0.0167477701718448,-0.0308339954064892
